City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
142,hami,42.8,93.45,22.4,21,100,4.9,CN,1684705463
143,hamilton,39.1834,-84.5333,25.8,40,0,4.63,US,1684705403
144,grand gaube,-20.0064,57.6608,22.43,82,16,1.61,MU,1684705464
145,lompoc,34.6391,-120.4579,26.12,80,100,6.71,US,1684705465
146,klyuchi,52.2667,79.1667,11.91,48,9,3.46,RU,1684705415
147,mandalgovi,45.7625,106.2708,5.88,52,1,2.42,MN,1684705466
148,susuman,62.7833,148.1667,1.97,70,86,3.64,RU,1684705467
149,rengasdengklok,-6.1592,107.2981,25.07,87,12,1.88,ID,1684705467
150,mangrol,21.1167,70.1167,27.61,80,0,5.27,IN,1684705468
151,walcz,53.2779,16.4712,14.0,77,98,3.22,PL,1684705446
152,banda aceh,5.5577,95.3222,27.08,81,60,4.06,ID,1684705469
153,maine soroa,13.2114,12.0241,30.47,47,53,4.62,NE,1684705471
154,hobyo,5.3505,48.5268,27.88,81,46,6.85,SO,1684705473
155,lebu,-37.6167,-73.65,11.78,88,11,3.82,CL,1684705473
156,circleville,39.6006,-82.946,25.73,35,0,1.84,US,1684705474
157,shumikha,55.2261,63.2961,11.55,47,16,2.07,RU,1684705475
158,polyarnyy,69.1989,33.4478,8.45,89,100,5.76,RU,1684705413
159,arroyo,41.6096,-4.7969,13.66,82,0,3.6,ES,1684705476
160,camarinas,43.1311,-9.1817,16.77,88,14,9.51,ES,1684705477
161,necochea,-38.5473,-58.7368,14.91,77,85,4.35,AR,1684705477
162,roma,43.2128,-75.4557,21.49,54,0,4.63,US,1684705478
163,olonkinbyen,70.9221,-8.7187,1.53,97,100,8.25,SJ,1684705478
164,prince rupert,54.3161,-130.3201,10.05,82,100,8.75,CA,1684705212
165,flying fish cove,-10.4217,105.6791,25.82,83,75,4.63,CX,1684705479
166,queenstown,-31.8976,26.8753,5.42,80,75,0.59,ZA,1684705479
167,tuy hoa,13.0833,109.3,25.31,80,74,2.44,VN,1684705480
168,besuki,-7.7338,113.6979,23.91,78,43,1.87,ID,1684705480
169,belyy yar,53.6039,91.3903,9.94,34,0,0.0,RU,1684705481
170,waslala,13.2333,-85.3833,34.0,33,89,2.56,NI,1684705481
171,kirensk,57.7853,108.1119,10.37,71,75,1.38,RU,1684705482
172,lazaro cardenas,17.9583,-102.2,31.08,64,71,4.07,MX,1684705482
173,vernon,50.2581,-119.2691,22.56,60,97,0.51,CA,1684705350
174,mariental,-24.6333,17.9667,15.87,21,5,1.74,NA,1684705483
175,nizhneangarsk,55.7833,109.55,2.44,75,19,0.21,RU,1684705483
176,isafjordur,66.0755,-23.124,3.53,73,50,6.29,IS,1684705411
177,vila velha,-20.3297,-40.2925,23.86,73,0,1.03,BR,1684705326
178,lago da pedra,-4.3333,-45.1667,24.61,89,53,1.2,BR,1684705485
179,bukama,-9.2,25.85,21.95,61,8,0.46,CD,1684705485
180,woodstock,43.1334,-80.7497,22.15,49,2,5.1,CA,1684705486
181,sirte,31.2089,16.5887,18.85,80,0,2.23,LY,1684705486
182,argostolion,38.1811,20.489,16.71,90,99,4.33,GR,1684705487
183,borogontsy,62.6683,131.1683,-1.15,69,58,3.38,RU,1684705487
184,fuxin,42.0156,121.6589,16.26,34,9,1.88,CN,1684705487
185,lihue,21.9789,-159.3672,27.58,77,40,4.12,US,1684705488
186,magadan,59.5667,150.8,2.52,94,100,1.51,RU,1684705487
187,iwaki,37.05,140.8833,20.57,82,99,1.94,JP,1684705489
188,yauya,-8.9833,-77.3,15.98,56,89,0.65,PE,1684705489
189,yangcun,39.3639,117.0603,15.99,43,19,2.62,CN,1684705489
190,georgetown,5.4112,100.3354,27.97,78,20,0.0,MY,1684705291
191,general jose de san martin,-26.5374,-59.3416,18.02,97,98,3.22,AR,1684705490
192,praia da vitoria,38.7333,-27.0667,18.14,77,40,4.81,PT,1684705491
193,takaungu,-3.6837,39.8566,24.67,90,22,4.09,KE,1684705491
194,pacasmayo,-7.4006,-79.5714,24.23,73,76,6.61,PE,1684705492
195,lethem,3.3803,-59.7968,31.03,74,40,6.17,GY,1684705492
196,bogalusa,30.791,-89.8487,29.3,65,0,2.06,US,1684705493
197,lerwick,60.1545,-1.1494,6.0,81,33,1.59,GB,1684705493
198,handan,36.6006,114.4678,14.98,50,40,1.7,CN,1684705494
199,saint-pierre,-21.3393,55.4781,22.82,68,0,3.09,RE,1684705494
200,kabinda,-6.1333,24.4833,22.6,60,38,1.92,CD,1684705494
201,isla mujeres,21.2311,-86.731,31.03,67,2,6.19,MX,1684705380
202,atafu village,-8.5421,-172.5159,28.55,77,44,4.95,TK,1684705496
203,grand falls-windsor,48.9332,-55.6649,15.84,63,100,4.47,CA,1684705240
204,ad dawadimi,24.5077,44.3924,27.64,18,70,2.82,SA,1684705496
205,rongelap,11.1635,166.8941,27.78,82,92,6.11,MH,1684705497
206,paradise valley,33.5312,-111.9427,38.44,16,0,2.68,US,1684705266
207,vadso,70.0744,29.7487,12.49,66,0,4.12,NO,1684705498
208,trincomalee,8.5711,81.2335,27.24,78,100,6.65,LK,1684705441
209,meadow lake,34.8014,-106.5436,23.87,25,9,3.27,US,1684705408
210,tura,25.5198,90.2201,19.46,91,13,1.26,IN,1684705330
211,sitka,57.0531,-135.33,12.94,58,100,6.17,US,1684705421
212,salekhard,66.53,66.6019,3.54,82,63,2.02,RU,1684705444
213,axim,4.8699,-2.2405,25.77,85,100,1.78,GH,1684705500
214,shiqian,27.5225,108.2281,15.55,95,99,2.23,CN,1684705501
215,ngambe,4.2333,10.6167,22.27,100,90,0.98,CM,1684705501
216,al ghayzah,16.2079,52.176,29.91,63,46,4.08,YE,1684705502
217,wailua homesteads,22.0669,-159.378,27.24,77,40,4.12,US,1684705324
218,pesaro,43.9036,12.8903,17.93,85,90,0.45,IT,1684705504
219,wichian buri,15.6578,101.106,27.69,68,49,1.31,TH,1684705505
220,raduzhnyy,62.0961,77.475,5.89,68,5,2.93,RU,1684705506
221,san patricio,28.017,-97.5169,28.97,65,50,5.64,US,1684705506
222,thompson,55.7435,-97.8558,14.09,26,40,1.54,CA,1684705507
223,xilin hot,43.9667,116.0333,9.77,52,2,1.8,CN,1684705508
224,mugia,43.1041,-9.2179,16.76,87,10,9.82,ES,1684705509
225,alice springs,-23.7,133.8833,1.75,93,0,3.02,AU,1684705509
